_id,LOC_ID,LOC_NAME,AUSPICE,ADDRESS,PostalCode,bldg_type,BLDGNAME,IGSPACE,TGSPACE,PGSPACE,KGSPACE,SGSPACE,TOTSPACE,subsidy,cwelcc_flag,Longitude,Latitude
1036,14428,Kiiwednong Aborginal Head Start,Non Profit Agency,1288 WESTON RD,M6M,Other,,0,0,16,0,0,16,N,N,-79.49569973,43.6889448544
1037,14430,Jolly Juniors,Commercial Agency,1500 ROYAL YORK RD,M9P,Other,,10,24,5,0,0,39,N,N,-79.5318478771,43.6916310475
1038,14431,Aquabella Child Care,Non Profit Agency,75 EDGEWATER DR,M5A,Other,,10,20,32,0,0,62,Y,Y,-79.362119566,43.645523334
1039,14433,Macaulay - Tippett Child Care Centre,Non Profit Agency,38 MONTE KWINTER CRT,M3H,Other,,10,15,24,0,0,49,Y,Y,-79.448826303,43.73359237
1040,14450,Moshava Bair Day Camp Of Toronto,Non Profit Agency,470 GLENCAIRN AVE,M5N,Other,,0,15,40,0,0,55,,N,-79.426999986,43.713099761
1041,14452,Bendale Licensed Before And After School Program,Non Profit Agency,61 BENSHIRE DR,M1H,Public Elementary School,Bendale Junior Public School,0,0,0,26,15,41,Y,Y,-79.2448834509,43.7625757291
1042,14453,Family Day Muirhead Extended Day And School Age Program,Non Profit Agency,25 MUIRHEAD RD,M2J,Public Elementary School,Muirhead Public School,0,0,0,13,15,28,Y,Y,-79.3374534066,43.7788926281
1043,14454,Family Day Thomas L Wells Extended Day And School Age Program,Non Profit Agency,69 NIGHTSTAR RD,M1X,Public Elementary School,Thomas L Wells Public School,0,0,0,0,30,30,Y,Y,-79.226125413,43.824299805
1044,14455,Macaulay - George Syme Child Care Centre,Non Profit Agency,69 PRITCHARD AVE,M6N,Other,George Syme Community School,0,0,0,26,15,41,Y,Y,-79.491126771,43.669251383
1045,14456,Macaulay - Hj Alexander Child Care Centre,Non Profit Agency,30 KING ST,M9N,Other,H J Alexander Community School,0,0,0,26,30,56,Y,Y,-79.520228611,43.702399464
1046,14457,Birch Cliff Heights Licensed Before And After School Program,Non Profit Agency,120 HIGHVIEW AVE,M1N,Other,Birch Cliff Heights Public School,0,0,0,26,15,41,Y,Y,-79.2598198285,43.7017499908
1047,14458,Chine Drive Licensed Before And After School Program,Non Profit Agency,51 CHINE DR,M1M,Public Elementary School,Chine Drive Public School,0,0,0,26,30,56,Y,Y,-79.241796888,43.709982589
1048,14459,Young Talents Academy,Commercial Agency,2255 SHEPPARD AVE E,M2J,Other,,0,30,40,0,0,70,N,Y,-79.327564626,43.773899764
1049,14461,Macaulay - Valleyfield Child Care Centre,Non Profit Agency,35 SASKATOON DR,M9P,Other,Valleyfield Junior School,0,0,0,26,30,56,Y,Y,-79.538444447,43.694286511
1050,14463,Macaulay - Pelmo Park Child Care Centre,Non Profit Agency,180 GARY DR,M9N,Other,Pelmo Park Public School,0,0,0,26,30,56,Y,Y,-79.5181194455,43.712065319
1051,14465,Macaulay - St. Paul VI,Non Profit Agency,270 LAUGHTON AVE,M6N,Catholic Elementary School,St. Paul VI Catholic School,0,15,24,0,0,39,Y,Y,-79.45779303,43.674012901
1052,14466,St. Bartholomew Before And After School Program,Non Profit Agency,51 HEATHER RD,M1S,Catholic Elementary School,St. Bartholomew Catholic School,0,0,0,13,15,28,Y,Y,-79.271606907,43.789872137
1053,14469,Kepalen Angelic Child Care,Non Profit Agency,1301 NEILSON RD,M1B,Place of Worship,Malvern Presbyterian Church,6,13,15,0,0,34,Y,Y,-79.2183669611,43.8070440467
1054,14470,Central Montessori School,Commercial Agency,180 SHEPPARD AVE E,M2N,Other,,0,30,16,0,0,46,N,N,-79.402621847,43.7636151142
1055,14475,Plasp St. Margaret C.S.,Non Profit Agency,85 CARMICHAEL AVE,M5M,Catholic Elementary School,St. Margaret Catholic School,0,0,0,0,15,15,Y,Y,-79.426648418,43.735985683
1056,14478,Happyland Childcare Learning Centre,Commercial Agency,225 GOSFORD BLVD,M3N,Other,,10,30,64,0,0,104,N,N,-79.522768192,43.769752636
1057,14484,Queen Street Childcare Centre,Non Profit Agency,10 WHITE SQUIRREL WAY,M6J,Other,Queen Street Mental Health Care Centre,10,15,24,0,0,49,Y,Y,-79.420782872,43.641920828
1058,14492,The Neighbourhood Group Downsview Child Care,Non Profit Agency,2829 KEELE ST,M3M,Public Elementary School,Downsview Public School,0,0,0,52,60,112,Y,Y,-79.4824390645,43.7311224379
